handle,variant_1,variant_2,variant_3, price 
twin-over-twin-bunk-bed,1 Side Rail and 2 End Rails,Tray,Trundle," 3,295.00 "
twin-over-twin-bunk-bed,2 Side Rails and 2 End Rails,Tray,Trundle," 3,645.00 "
twin-over-twin-bunk-bed,Standard (1 Side Rail),No Accessories,Trundle," 2,860.00 "
twin-over-twin-bunk-bed,2 Side Rails,No Accessories,Trundle," 3,035.00 "
twin-over-twin-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,Trundle," 3,020.00 "
twin-over-twin-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,Trundle," 3,195.00 "
twin-over-twin-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,Trundle," 3,180.00 "
twin-over-twin-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,Trundle," 3,530.00 "
twin-over-twin-bunk-bed,Standard (1 Side Rail),Bookshelf,No Trundle," 2,955.00 "
twin-over-twin-bunk-bed,2 Side Rails,Bookshelf,No Trundle," 3,130.00 "
twin-over-twin-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,No Trundle," 3,115.00 "
twin-over-twin-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,No Trundle," 3,290.00 "
twin-over-twin-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,No Trundle," 3,275.00 "
twin-over-twin-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,No Trundle," 3,625.00 "
twin-over-twin-bunk-bed,Standard (1 Side Rail),Bookshelf,Trundle," 3,520.00 "
twin-over-twin-bunk-bed,2 Side Rails,Bookshelf,Trundle," 3,695.00 "
twin-over-twin-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,Trundle," 3,680.00 "
twin-over-twin-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,Trundle," 3,855.00 "
twin-over-twin-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,Trundle," 3,840.00 "
twin-over-twin-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,Trundle," 4,190.00 "
adult-loft-bed,Standard (1 Side Rail),No Accessories,0," 1,895.00 "
adult-loft-bed,2 Side Rails,No Accessories,0," 2,070.00 "
adult-loft-bed,1 Side Rail and 1 End Rail,No Accessories,0," 2,055.00 "
adult-loft-bed,2 Side Rails and 1 End Rail,No Accessories,0," 2,230.00 "
