handle,variant_1,variant_2,variant_3,price
twin-over-twin-bunk-bed,2 Side Rails and 2 End Rails,Tray,No Trundle,3080
twin-over-twin-bunk-bed,Standard (1 Side Rail),Tray,Trundle,2975
twin-over-twin-bunk-bed,2 Side Rails,Tray,Trundle,3150
twin-over-twin-bunk-bed,1 Side Rail and 1 End Rail,Tray,Trundle,3135
twin-over-twin-bunk-bed,2 Side Rails and 1 End Rail,Tray,Trundle,3310
twin-over-twin-bunk-bed,1 Side Rail and 2 End Rails,Tray,Trundle,3295
twin-over-twin-bunk-bed,2 Side Rails and 2 End Rails,Tray,Trundle,3645
twin-over-twin-bunk-bed,Standard (1 Side Rail),No Accessories,Trundle,2860
twin-over-twin-bunk-bed,2 Side Rails,No Accessories,Trundle,3035
twin-over-twin-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,Trundle,3020
twin-over-twin-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,Trundle,3195
twin-over-twin-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,Trundle,3180
twin-over-twin-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,Trundle,3530
twin-over-twin-bunk-bed,Standard (1 Side Rail),Bookshelf,No Trundle,2845
twin-over-twin-bunk-bed,2 Side Rails,Bookshelf,No Trundle,3020
twin-over-twin-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,No Trundle,3005
twin-over-twin-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,No Trundle,3180
twin-over-twin-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,No Trundle,3165
twin-over-twin-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,No Trundle,3515
twin-over-twin-bunk-bed,Standard (1 Side Rail),Bookshelf,Trundle,3410
twin-over-twin-bunk-bed,2 Side Rails,Bookshelf,Trundle,3585
twin-over-twin-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,Trundle,3570
twin-over-twin-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,Trundle,3745
twin-over-twin-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,Trundle,3730
twin-over-twin-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,Trundle,4080
adult-loft-bed,Standard (1 Side Rail),No Accessories,0,1895
adult-loft-bed,2 Side Rails,No Accessories,0,2070
adult-loft-bed,1 Side Rail and 1 End Rail,No Accessories,0,2055
adult-loft-bed,2 Side Rails and 1 End Rail,No Accessories,0,2230
adult-loft-bed,1 Side Rail and 2 End Rails,No Accessories,0,2215
adult-loft-bed,2 Side Rails and 2 End Rails,No Accessories,0,2565
adult-loft-bed,Standard (1 Side Rail),Tray,0,2010
adult-loft-bed,2 Side Rails,Tray,0,2185
adult-loft-bed,1 Side Rail and 1 End Rail,Tray,0,2170
adult-loft-bed,2 Side Rails and 1 End Rail,Tray,0,2345
adult-loft-bed,1 Side Rail and 2 End Rails,Tray,0,2330
adult-loft-bed,2 Side Rails and 2 End Rails,Tray,0,2680
adult-loft-bed,Standard (1 Side Rail),Bookshelf,0,2445
adult-loft-bed,2 Side Rails,Bookshelf,0,2620
